Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate,Displacement,Country,YEAR
Southdown,ENG,Hunt,DD,1050,8 November 1940,"paid off 1946, scrapped 1956",,,
Southwold,ENG,Hunt,DD,1050,9 October 1941,sunk 24 March 1942,,,
Speaker,ENG,Ruler,CVE,8333,20 November 1943,"paid off 25 September 1946, scrapped 1972",,,
Spearfish,ENG,S,SS,670,11 December 1936,sunk 1 August 1940,,,
Spetsai,Hellenic Navy,Kountouriotis,DD,1350,1933,decommissioned 1946,,,
Spikenard,Royal Navy  Royal Canadian Navy,Flower,K,925,6 December 1940,"to Canada 15 May 1941, sunk on 11 February 1942 by U-136",,,
Spiraea,ENG,Flower,K,925,27 February 1941,Sold to Greece as Thessaloniki. August 1945,,,
Spiteful,ENG,S,SS,814,6 October 1943,scrapped 1963,,,
Splendid,ENG,S,SS,814,8 August 1942,scuttled 21 April 1943,,,
Sportsman,ENG,S,SS,814,21 December 1942,to the French Navy on 8 July 1952,,,
Springbank,ENG,Pegasus,fighter catapult ship,5155,1940,sunk 27 September 1941,,,
Springfield,USA,Cleveland,CL,10160,9 September 1944,"converted to Providence-class guided missile cruiser 1960, decommissioned 1974, scrapped 1980",,,
Springhill,Royal Canadian Navy,River,FF,1445,21 March 1944,paid off 1 December 1945,,,
Sri Ayudhya,Royal Thai Navy,Thonburi,coastal defence ship,2350,19 July 1938,sunk 1 July 1951,,,
St Albans,Royal Navy  Royal Norwegian Navy  Soviet Navy,Town,DD,1190,23 September 1940,"to Norway 14 April 1941, to USSR 16 July 1944, scrapped 1949",,,
St. Catharines,Royal Canadian Navy,River,FF,1445,31 July 1943,paid off 14 December 1945,,,
St. Clair,Royal Canadian Navy,Town,DD,1190,24 September 1940,paid off 1946,,,
St. Croix,Royal Canadian Navy,Clemson,DD,1190,24 September 1940,sunk 22 September 1943,,,
St. Francis,Royal Canadian Navy,Clemson,DD,1216,24 September 1940,"paid off 1945, sank under tow July 1945",,,
St. Kitts,ENG,Battle,DD,2325,21 January 1946[5],"paid off 1957, scrapped February 1962",,,
St. Lambert,Royal Canadian Navy,Flower modified,K,1015,27 May 1944,20 July 1945,,,
St. Laurent,Royal Canadian Navy,C,DD,1375,17 February 1937,paid off 10 October 1945,,,
St. Lo,USA,Casablanca,CVE,7800,23 October 1943,ex-Midway; lost in action 25 October 1944,,,
St. Louis,USA,St. Louis,CL,10000,19 May 1939,"to Brazil as Tamandare 1951, sunk under tow 1980",,,
Saint Paul,USA,Baltimore,CA,17200,17 February 1945,"decommissioned 1971, scrapped 1980",,,
St. Pierre,Royal Canadian Navy,River,FF,1445,28 August 1944,paid off 22 November 1945,,,
St. Stephen,Royal Canadian Navy,River,FF,1445,28 July 1944,paid off 30 January 1946,,,
Stack,USA,Benham,DD,1500,20 November 1939,scuttled after A-bomb test 1948,,,
Stalker,ENG,Attacker,CVE,14400,21 December 1942,"paid off 29 December 1945, sold into merchant service as Riouw",,,
Starwort,ENG,Flower,K,925,26 May 1941,,,,
Statice,ENG,Flower modified,K,1015,20 September 1943,paid off May 1947,,,
Ste. Therese,Royal Canadian Navy,River,FF,1445,28 May 1944,paid off 30 January 1967,,,
Steamer Bay,USA,Casablanca,CVE,7800,4 April 1944,"decommissioned January 1947, scrapped 1959",,,
Stellarton,Royal Canadian Navy,Flower modified,K,1015,29 September 1944,1 July 1945,,,
Stembel,USA,Fletcher,DD,2050,16 July 1943,"loaned to Argentina as Rosales 1961, scrapped 1982",,,
Sterett,USA,Benham,DD,1500,15 August 1939,scrapped 1947,,,
Sterlet,ENG,S,SS,670,6 April 1938,sunk 18 April 1940,,,
Stettler,Royal Canadian Navy,River,FF,1445,7 May 1944,paid off 31 August 1966,,,
Stevenson,USA,Gleaves,DD,1630,15 December 1942,"decommissioned 1946, scrapped 1970",,,
Stevenstone,ENG,Hunt,DD,1050,18 March 1943,Scrapped in 1959,,,
Stewart,United States Navy  Imperial Japanese Navy,Clemson,DD,1200,15 September 1920,"scuttled 2 March 1942, raised by IJN and recommissioned September 1943",,,
Stier,GER,,MC,11000,25 November 1939,sunk 27 September 1942,,,
Stockton,USA,Gleaves,DD,1630,11 January 1943,"decommissioned 1946, scrapped 1973",,,
Stone Town,Royal Canadian Navy,River,FF,1445,21 July 1944,paid off 13 November 1945,,,
Stonecrop,ENG,Flower,K,925,30 July 1941,sold into merchant service May 1947,,,
Stord,Royal Norwegian Navy,S,DD,2400,29 September 1943,scrapped 1959,,,
Strathadam,Royal Canadian Navy,River,FF,1445,29 September 1944,paid off 7 November 1945,,,
Strathroy,Royal Canadian Navy,Flower modified,K,1015,20 November 1944,12 July 1945,,,
Strasbourg,FRA,Dunkerque,BB,26500,February 1939,scuttled 27 November 1942,,,
Stockton,USA,Gleaves,DD,1630,11 January 1943,"decommissioned 1946, scrapped 1973",,,
Stord,Royal Norwegian Navy,S,DD,2400,29 September 1943,scrapped 1959,,,
Stormont,Royal Canadian Navy,River,FF,1445,27 November 1943,paid off 9 November 1945,,,
Striker,ENG,Attacker,CVE,10000,29 April 1943,"paid off 12 February 1946, scrapped 1948",,,
Strule,Royal Navy  Free French Naval Forces,River,FF,1370,,to Free French 25 September 1944 as Croix de Lorraine; decommissioned 1961,,,
Sudbury,Royal Canadian Navy,Flower,K,925,15 October 1941,paid off 28 August 1945,,,
Suffren,French Navy  Free French Naval Forces,Suffren,CA,9940,1 January 1930,scrapped 1974,,,
The Sullivans,USA,Fletcher,DD,2050,4 April 1943,museum ship,,,
Sumatra,Royal Netherlands Navy,Java,CL,6670,26 May 1926,"scuttled off the coast of Normandy on 9 June 1944 at Ouistreham as part of a ""gooseberry"" pier to protect an artificial Allied Mulberry harbour built as part of Operation Overlord.",,,
Summerside,Royal Canadian Navy,Flower,K,925,11 September 1941,paid off 6 July 1945,,,
Sundew,ENG,Flower,K,925,19 September 1941,to Free French as Roselys; scrapped 1948,,,
Sunfish,ENG,S,SS,670,2 July 1937,sunk 27 July 1944,,,
Sunflower,ENG,Flower,K,925,25 January 1941,Scrapped September 1947,,,
Sussexvale,Royal Canadian Navy,River,FF,1445,29 November 1944,paid off 30 November 1966,,,
Sutlej,Royal Indian Navy,Black Swan,SL,1250,23 April 1941,to Indian Navy as INS Sutlej 1947; converted to survey ship 1955; decommissioned 1978; scrapped 1979,,,
Suwannee,USA,Sangamon,CVE,24275,24 September 1942,decommissioned 8 January 1947; scrapped 1960,,,
Suzuya,JPN,Mogami,CA,15900,October 1937,sunk 25 October 1944 during the Battle off Samar,,,
Svenner,Royal Norwegian Navy,S,DD,1710,11 March 1944,sunk 6 June 1944,,,
Sverige,Swedish Navy,Sverige,coastal defence ship,6852,14 May 1917,"paid off 30 January 1953, scrapped 1958",,,
Swale,Royal Navy  South African Navy,Loch,FF,1370,,to South Africa 29 July 1945; scrapped February 1955,,,
Swansea,Royal Canadian Navy,River,FF,1445,4 October 1943,paid off 14 October 1966,,,
Swanson,USA,Gleaves,DD,1630,29 May 1941,"decommissioned 1945, scrapped 1972",,,
Sweetbriar,ENG,Flower,K,925,8 September 1941,Sold July 1946; whale catcher Star IX June 1949; scrapped April 1966,,,
Swift,ENG,S,DD,1710,12 December 1943,sunk by mine 24 June 1944,,,
Sydney,Royal Australian Navy,modified Leander,CL,6980,24 September 1935,lost 19 November 1941,,,
Dahlgren,USA,Clemson,DD,1200,6 January 1920,scrapped 1946,,,
Dahlia,ENG,Flower,K,925,21 March 1941[5],,,,
Dale,USA,Farragut,DD,1365,17 June 1935,scrapped 1947,,,
Dale W. Peterson,USA,Edsall,DE,1250,17 February 1944,"decommissioned 1946, scrapped 1972",,,
Dallas,USA,Clemson,DD,1200,29 October 1920,scrapped 1945,,,
Daly,USA,Fletcher,DD,2050,24 October 1942,"decommissioned 1960, scrapped 1976",,,
Damon M. Cummings,USA,Buckley,DE,1400,29 June 1944,"decommissioned 1947, scrapped 1973",,,
Daniel,USA,Edsall,DE,1250,24 January 1944,"decommissioned 1946, scrapped 1974",,,
Daniel A. Joy,USA,Rudderow,DE,1450,28 April 1944,scrapped 1966,,,
Daniel T. Griffin,USA,Buckley,DE,1400,9 June 1943,to Chile 1966,,,
Darby,USA,Buckley,DE,1400,15 November 1943,sunk as target 1970,,,
Dasher,ENG,Attacker,CVE,8200,2 July 1942,sunk 27 March 1943,,,
Dashiell,USA,Fletcher,DD,2050,20 March 1943,"decommissioned 1960, scrapped 1975",,,
Dauntless,ENG,Danae,C,4850,10 April 1918,scrapped 1946,,,
Dauphin,Royal Canadian Navy,Flower,K,925,17 May 1941,paid off 20 June 1945,,,
David W. Taylor,USA,Fletcher,DD,2050,18 September 1943,"to Spain 1957, scrapped 1987",,,
Davis,USA,Somers,DD,1850,9 November 1938,scrapped 1947,,,
Davison,USA,Gleaves,DD,1630,11 September 1942,"decommissioned 1949, scrapped 1973",,,
Dawson,Royal Canadian Navy,Flower,K,925,6 October 1941,paid off 19 June 1945,,,
Day,USA,Rudderow,DE,1450,10 June 1944,,,,
Dayton,USA,Cleveland,CL,11800,7 January 1945,scrapped 1962,,,
Decatur,USA,Clemson,DD,1200,August 1922,scrapped 1945,,,
Decker,United States Navy  Republic of China Navy,Buckley,DE,1140,3 May 1943,to Republic of China as Tai Ping 28 August 1945; sunk in action 1954,,,
Decoy,Royal Navy  Royal Canadian Navy,D,DD,1375,4 April 1933,"Transferred to RCN 12 April 1943 as HMCS Kootenay, paid off 26 October 1945",,,
Deede,USA,Evarts,DE,1140,29 July 1943,scrapped 1947,,,
De Haven (I),USA,Fletcher,DD,2050,21 June 1942,sunk 1 February 1943,,,
De Haven (II),USA,Allen M. Sumner,DD,2200,31 March 1944,"to South Korea 1973, scrapped 1993",,,
Delhi,ENG,Danae,C,4850,June 1919,scrapped 1948,,,
DeLong,USA,Rudderow,DE,1450,31 December 1943,sunk as target 1970,,,
Delphinium,ENG,Flower,K,925,15 November 1940[5],,,,
Dempsey,USA,Evarts,DE,1140,23 July 1943,scrapped 1947,,,
Dennis,USA,John C. Butler,DE,1350,20 March 1944,"decommissioned 1946, scrapped 1973",,,
Dennis J. Buckley,USA,Gearing,DD,2250,2 March 1945,scrapped 1974,,,
Dent,USA,Wickes,DD,1150,9 September 1918,scrapped 1946,,,
Denver,USA,Cleveland,CL,11800,15 October 1942,scrapped 1960,,,
De Ruyter,Netherlands,De Ruyter,C,7822,3 October 1936,sunk 28 February 1942,,,
Derwent,ENG,Hunt,DE,1050,24 April 1942,scrapped 1947,,,
Despatch,ENG,Danae,C,4850,2 June 1922,scrapped 1946,,,
Detroit,USA,Omaha,CL,7050,31 July 1923,scrapped 1946,,,
Deutschland,GER,Deutschland,CA,12100,1 April 1933,renamed Lützow,,,
Devonshire,ENG,County,C,9750,18 March 1929,scrapped December 1954,,,
Dewey,USA,Farragut,DD,1365,14 October 1934,scrapped 1946,,,
Diana,Royal Navy  Royal Canadian Navy,D,DD,1375,21 December 1932,"Transferred to RCN 6 September 1940 as Margaree, sunk in 22 October 1940",,,
Dianella,ENG,Flower,K,925,6 January 1941[5],,,,
Dianthus,ENG,Flower,K,925,17 March 1941[5],,,,
Dickerson,USA,Wickes,DD,1150,3 September 1919,sunk 4 April 1945,,,
Diomede,ENG,Danae,C,4850,24 April 1922,scrapped 1946,,,
Dionne,USA,Evarts,DE,1140,16 July 1943,scrapped 1947,,,
Dittany,Royal Navy  United States Navy,Flower modified,K,1015,7 March 1943,"to US as Beacon 7 March 1943, to UK 31 May 1943",,,
Dobler,USA,Evarts,DE,1140,17 May 1943,scrapped 1946,,,
Doherty,USA,Evarts,DE,1140,6 February 1943,scrapped 1946,,,
Donaldson,USA,Evarts,DE,1140,1 December 1943,scrapped 1946,,,
Doneff,USA,Evarts,DE,1140,10 June 1943,scrapped 1947,,,
Donnell,USA,Buckley,DE,1400,26 June 1943,"damaged August 1943 and converted to power barge, scrapped 1946",,,
Doran,USA,Gleaves,DD,1630,4 August 1942,"decommissioned 1947, scrapped 1973",,,
Dorsey,USA,Wickes,DD,1150,16 September 1918,"grounded in typhoon, 9 October 1945",,,
Dortch,USA,Fletcher,DD,2050,7 August 1943,"to Argentina 1961, scrapped 1977",,,
Douglas,ENG,Admiralty,destroyer flotilla leader,1610,2 September 1918,scrapped 20 March 1945,,,
Douglas A. Munro,USA,John C. Butler,DE,1350,11 July 1944,"decommissioned 1960, sunk as target 1966",,,
Douglas H. Fox,USA,Allen M. Sumner,DD,2200,26 December 1944,"to Chile 1974, sunk as target 1998",,,
Douglas L. Howard,USA,Evarts,DE,1250,29 July 1943,"decommissioned 1946, scrapped 1974",,,
Downes,USA,Mahan,DD,1450,15 January 1937,"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948",,,
Doyle,USA,Gleaves,DD,1630,27 January 1943,"decommissioned 1955, scrapped 1972",,,
Doyle C. Barnes,USA,John C. Butler,DE,1350,13 July 1944,"decommissioned 1947, scrapped 1973",,,
Drache,GER,,CM,1870,17 April 1941,"captured from Yugoslav, Zmaj, sunk 22 September 1944",,,
Dragon,Royal Navy  Polish Navy,Danae,C,4850,August 1918,"damaged, then used as a blockship in ""Gooseberry"" breakwater, July 1944",,,
Drava,Royal Yugoslav Navy,Enns,river monitor,536,15 April 1920,sunk 12 April 1941,,,
Drazki,Bulgarian Navy,Drazki,torpedo boat,97,1907,"Surviving parts were incorporated in a museum ship at the Naval Museum in Varna under the same name, using the hull of Strogi",,,
Drayton,USA,Mahan,DD,1450,1 September 1936,scrapped 1947,,,
Drexler,USA,Allen M. Sumner,DD,2200,14 November 1944,sunk 28 May 1945,,,
Dristigheten,Swedish Navy,Dristigheten,seaplane carrier,3445,5 September 1901,paid off 13 June 1947,,,
Drottning Victoria,Swedish Navy,Sverige,coastal defence ship,7125,12 March 1921,"paid off 22 March 1957, scrapped 1959",,,
Drum,United States,Gato,SS,"1,525 surfaced",1 November 1941,"decommissioned 1967; museum at Mobile, Alabama",,,
Drumheller,Royal Canadian Navy,Flower,K,925,13 September 1941,paid off 11 July 1945,,,
Dubrovnik,Royal Yugoslav Navy,Dubrovnik,DD,1210,August 1939,Scuttled by crew on 17 April 1941,,,
Duffy,USA,Evarts,DE,1140,5 August 1943,scrapped 1947,,,
Dufilho,USA,John C. Butler,DE,1350,21 July 1944,"decommissioned 1946, scrapped 1973",,,
Duguay-Trouin,French Navy  Free French Naval Forces,Duguay-Trouin,CL,7250,2 November 1926,decommissioned 9 March 1952,,,
Duilio,Regia Marina,Andrea Doria,BB,25920,1915,1956,,,
Duke of York,ENG,King George V,BB,35000,28 February 1940,scrapped 1957,,,
Duluth,USA,Cleveland,CL,11800,18 September 1944,scrapped 1960,,,
Dulverton,ENG,Hunt,DE,1000,September 1941,scuttled on 13 November 1943,,,
Duncan (I),USA,Gleaves,DD,1630,16 April 1942,sunk 12 October 1942,,,
Duncan (II),USA,Gearing,DD,2250,25 February 1945,"decommissioned 1971, sunk as target 1980",,,
Dundas,Royal Canadian Navy,Flower,K,925,1 April 1942,paid off 17 July 1945,,,
Dundee,ENG,Shoreham,SL,1060,31 March 1933,Torpedoed and sunk 15 September 1940,,,
Dunedin,ENG,Danae,C,4850,19 November 1918,lost 24 November 1941,,,
Dunkerque,FRA,Dunkerque,BB,26500,15 April 1937,scuttled 27 November 1942,,,
Dunlap,USA,Mahan,DD,1450,12 June 1937,scrapped 1948,,,
Dunvegan,Royal Canadian Navy,Flower,K,925,9 September 1941,paid off 3 July 1945,,,
Dunvegan Castle,ENG,,Armed merchant cruiser,15007,7 September 1939,sunk 28 August 1940,,,
Dupleix,FRA,Suffren,CA,10000,7 July 1932,scuttled 27 November 1942,,,
Du Pont,USA,Wickes,DD,1150,30 April 1919,scrapped 1947,,,
Duquesne,French Navy  Free French Naval Forces,Duquesne,CA,10000,6 December 1928,condemned 1955,,,
Durban,ENG,Danae,C,4850,1 November 1921,"""Gooseberry"" breakwater blockship, 9 June 1944",,,
Durant,USA,Edsall,DE,1250,17 February 1944,"decommissioned 1964, scrapped 1974",,,
Durik,USA,Buckley,DE,1400,16 November 1943,"decommissioned 1946, scrapped 1967",,,
Dyess,USA,Gearing,DD,2250,21 May 1945,scrapped 1981,,,
Dyson,USA,Fletcher,DD,2050,30 December 1942,"to West Germany 1960, scrapped 1982",,,
Falke,GER,Raubvogel,torpedo boat,1290,15 August 1927,sunk 15 June 1944,,,
Fall River,USA,Baltimore,CA,17200,1 July 1945,"decommissioned 1947, scrapped 1972",,,
Fanning,USA,Mahan,DD,1450,8 October 1937,scrapped 1948,,,
Fanshaw Bay,USA,Casablanca,CVE,7800,9 December 1943,"decommissioned 14 August 1946, scrapped 1959",,,
Farenholt,USA,Benson,DD,1620,2 April 1942,"decommissioned 1946, scrapped 1972",,,
Farndale,ENG,Hunt,DE,1050,27 April 1941,scrapped 1962,,,
Farragut,USA,Farragut,DD,1365,18 June 1934,scrapped 1947,,,
Fencer,ENG,Attacker,CVE,14400,20 February 1943,"paid off 21 December 1945, sold as a merchant ship; scrapped 1975",,,
Fennel,Royal Navy  Royal Canadian Navy,Flower,K,925,16 January 1941,"to Canada 15 May 1941, paid off 12 June 1945",,,
Fergus,Royal Canadian Navy,Flower modified,K,1015,18 November 1944,14 July 1945,,,
Fernie,ENG,Hunt,DE,1000,29 May 1940,paid off 1947,,,
Fidelity,ENG,,Special Service Ship,2456,24 September 1940,sunk 30 December 1942,,,
Fiji,ENG,Fiji,CL,8000,5 May 1940,sunk 22 May 1941,,,
Finisterre,ENG,Battle,DD,2325,11 September 1945[5],"paid off 1965, scrapped 1967",,,
Fitch,USA,Gleaves,DD,1630,3 February 1942,"decommissioned 1956, sunk as target 1973",,,
Fiume,Regia Marina,Zara,CA,11500,1931,sunk 29 March 1941,,,
Fletcher,USA,Fletcher,DD,2100,30 June 1942,"Decommissioned 1 August 1969, scrapped 1972",,,
Fleur de Lys,ENG,Flower,K,925,26 August 1940,14 October 1941,,,
Flint,USA,Atlanta,CL,6000,31 August 1944,"decommissioned 1947, scrapped 1966",,,
Flores,Royal Netherlands Navy,Flores,GB,1457,25 March 1926,scrapped November 1968,,,
Flusser,USA,Mahan,DD,1450,1 October 1936,scrapped 1948,,,
Forrest Hill,Royal Canadian Navy,Flower modified,K,1015,1 December 1943,9 July 1945,,,
Fort Erie,Royal Canadian Navy,River,FF,1445,27 October 1944,paid off 26 March 1965,,,
Foch,FRA,Suffren,CA,10000,15 August 1931,scuttled 27 November 1942,,,
Folkestone,ENG,Folkestone,SL,1045,25 June 1940,scrapped 22 May 1947,,,
Formidable,ENG,Illustrious,CV,23000,24 November 1940,scrapped 1953,,,
Forrest,USA,Gleaves,DD,1630,13 January 1942,scrapped 1946,,,
Fort Erie,Royal Canadian Navy,River,FF,1445,27 October 1944,paid off 26 March 1965,,,
Fortune,Royal Navy  Royal Canadian Navy,F,DD,1405,27 April 1935,"to Canada as Saskatchewan 31 May 1943, mined 21 June 1944",,,
Foxhound,Royal Navy  Royal Canadian Navy,V,DD,1405,6 June 1935,"Transferred to RCN 8 February 1944 as Qu'Appelle, paid off 26 May 1946",,,
Frankford,USA,Gleaves,DD,1630,31 March 1943,"decommissioned 1946, sunk as target 1973",,,
Franklin,USA,Essex,CV,30800,31 January 1944,"Decommissioned 17 February 1947, scrapped 1964",,,
Fraser,Royal Canadian Navy,C,DD,1375,17 February 1937,sunk in a collision 25 June 1940,,,
Frazier,USA,Benson,DD,1620,30 July 1942,"decommissioned 1946, scrapped 1972",,,
Frederick C. Davis,USA,Edsall,DE,1200,14 July 1943,sunk 24 April 1945,,,
Fredericton,Royal Canadian Navy,Flower,K,925,8 December 1941,paid off 14 July 1945,,,
Freesia,ENG,Flower,K,925,19 November 1940,,,,
Fresia,CHL,H,SS,441,1917,scrapped 1945,,,
Fridtjof Nansen,Royal Norwegian Navy,,patrol ship,1575,29 May 1931,ran aground and sank 8 November 1940,,,
Fritillary,ENG,Flower,K,925,1 November 1941,,,,
Frobisher,ENG,Hawkins,CA,9750,20 September 1924,"sold for scrap March 26, 1949",,,
Frome,Royal Navy  Free French Naval Forces,River,FF,1370,3 March 1944,"to Free French 3 March 1944 as Escarmouche, paid off 1960",,,
Frontenac,Royal Canadian Navy,Flower modified,K,1015,26 October 1943,22 July 1945,,,
Fu An,Republic of China Navy,,GB,1900,,,,,
Fubuki,JPN,Fubuki,DD,1750,10 August 1928,sunk 11 October 1942,,,
Fujinami,JPN,Yūgumo,DD,2520,31 July 1943,sunk 10 January 1945,,,
Fumizuki,JPN,Mutsuki,DD,1315,3 July 1926,sunk 18 February 1944,,,
Furious,ENG,Glorious,CV,22400,14 October 1917,scrapped 1948,,,
Furutaka,JPN,Furutaka,CA,9150,31 March 1926,sunk 20 December 1942,,,
Fury,ENG,F,DD,1405,10 September 1934,"mined 21 June 1944, not repaired",,,
Fusō,JPN,Fusō,dreadnought,34700,18 November 1915,sunk 25 October 1944,,,
Fuyutsuki,JPN,Akizuki,DD,2700,30 April 1944,scrapped and converted to breakwater 1948,,,
Quadrant,ENG,Q,DD,1692,26 November 1942,Paid off late 1945,,,
Quail,ENG,Q,DD,1692,7 January 1943,"Damaged by mine 15 November 1943, sunk under tow 18 May 1944",,,
Quality,ENG,Q,DD,1692,7 September 1942,Paid off 8 October 1945,,,
Quantock,ENG,Hunt,DD,1050,6 February 1941,Scrapped 1978,,,
Queen,ENG,Ruler,CVE,8333,7 December 1943,"Paid off July 1947, scrapped 1972",,,
Queen Elizabeth,ENG,Queen Elizabeth,BB,31000,22 December 1914,Decommissioned and scrapped 1948,,,
Queenborough,ENG,Q,DD,1692,15 September 1942,Paid off September 1945,,,
Quentin,ENG,Q,DD,1692,15 April 1942,Sunk 2 December 1942,,,
Quesnel,Royal Canadian Navy,Flower,K,925,23 May 1941,Paid off 3 July 1945,,,
Quetta,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Quiberon,ENG,Q,DD,1692,22 October 1942,26 June 1964,,,
Quick,USA,Gleaves,DD,1630,3 July 1942,"Decommissioned 1949, scrapped 1973",,,
Quickmatch,ENG,Q,DD,1692,14 September 1942,Paid off 26 April 1963,,,
Quidora,CHL,H,SS,441,1917,Scrapped 1945,,,
Quilliam,ENG,Q,DD,1692,22 October 1942,21 November 1945,,,
Quincy (II),USA,New Orleans,CA,9375,9 June 1936,Sunk 9 August 1942,,,
Quincy (III),USA,Baltimore,CA,13600,December 1943,Decommissioned 1954 and scrapped in 1974,,,
Quorn,ENG,Hunt,DD,1050,21 September 1940,Sunk 3 August 1944,,,
P222,ENG,S,SS,814,4 March 1942,sunk 12 December 1942,,,
Pakenham,ENG,P,DD,1690,4 February 1942,"constructive loss, scuttled 16 April 1943",,,
Paladin,ENG,P,DD,1690,December 1941,"paid off June 1961, scrapped 1962",,,
Pandora,ENG,Parthian,SS,2070,30 June 1930,"sunk 1 April 1942, scrapped 1955",,,
Panthir,Hellenic Navy,Aetos,DD,1030,19 October 1912,Decommissioned 1946,,,
Panther,ENG,P,DD,1690,12 December 1941,sunk 9 October 1943,,,
,Argentine Navy,Rosario,GB,1055,1909,Sold 28 August 1958,,,
Paris,French Navy  Royal Navy,Courbet,dreadnought,23475,5 June 1913,"captured by Britain 3 July 1940 used as depot ship, scrapped 1956",,,
Parker,USA,Benson,DD,1620,31 August 1942,"decommissioned 1947, scrapped 1973",,,
Parry Sound,Royal Canadian Navy,Flower modified,K,1015,30 August 1944,10 July 1945,,,
Parthian,ENG,Parthian,SS,2070,30 June 1930,sunk August 1943,,,
